UTC,Altitude
2020-01-12T21:37:10Z,0
2020-01-12T21:39:06Z,0
2020-01-12T21:39:50Z,0
2020-01-12T21:45:13Z,0
2020-01-12T21:45:27Z,0
2020-01-12T21:45:43Z,0
2020-01-12T21:45:56Z,0
2020-01-12T21:46:17Z,0
2020-01-12T21:46:24Z,0
2020-01-12T21:46:43Z,0
2020-01-12T21:46:59Z,0
2020-01-12T21:47:07Z,0
2020-01-12T21:47:20Z,0
2020-01-12T21:47:28Z,0
2020-01-12T21:47:36Z,0
2020-01-12T21:47:48Z,0
2020-01-12T21:48:05Z,0
2020-01-12T21:49:00Z,0
2020-01-12T21:49:09Z,0
2020-01-12T21:49:18Z,0
2020-01-12T21:49:32Z,0
2020-01-12T21:49:38Z,0
2020-01-12T21:49:47Z,0
2020-01-12T21:49:55Z,0
2020-01-12T21:50:11Z,0
2020-01-12T21:50:19Z,0
2020-01-12T21:50:41Z,0
2020-01-12T21:50:47Z,0
2020-01-12T21:51:16Z,0
2020-01-12T21:52:46Z,0
2020-01-12T21:52:54Z,0
2020-01-12T21:53:00Z,0
2020-01-12T21:53:07Z,0
2020-01-12T21:53:13Z,0
2020-01-12T21:53:25Z,0
2020-01-12T21:53:31Z,0
2020-01-12T21:53:43Z,0
2020-01-12T21:53:49Z,0
2020-01-12T21:54:01Z,0
2020-01-12T21:54:08Z,0
2020-01-12T21:54:14Z,0
2020-01-12T21:54:21Z,0
2020-01-12T21:54:33Z,0
2020-01-12T21:54:43Z,0
2020-01-12T21:54:52Z,0
2020-01-12T21:55:00Z,0
2020-01-12T21:55:06Z,0
2020-01-12T21:55:15Z,0
2020-01-12T21:55:22Z,0
2020-01-12T21:55:28Z,0
2020-01-12T21:55:34Z,0
2020-01-12T21:55:44Z,0
2020-01-12T21:55:57Z,0
2020-01-12T21:56:05Z,0
2020-01-12T21:56:12Z,0
2020-01-12T21:56:18Z,0
2020-01-12T21:56:28Z,0
2020-01-12T21:56:39Z,0
2020-01-12T21:56:46Z,0
2020-01-12T21:56:52Z,0
2020-01-12T21:56:58Z,0
2020-01-12T21:57:05Z,0
2020-01-12T21:57:17Z,0
2020-01-12T21:57:23Z,0
2020-01-12T21:57:35Z,0
2020-01-12T21:57:41Z,0
2020-01-12T21:57:47Z,0
2020-01-12T21:57:56Z,0
2020-01-12T21:58:22Z,0
2020-01-12T22:00:23Z,6075
2020-01-12T22:00:37Z,6575
2020-01-12T22:00:52Z,6800
2020-01-12T22:01:03Z,6950
2020-01-12T22:01:15Z,7175
2020-01-12T22:01:28Z,7350
2020-01-12T22:01:40Z,7625
2020-01-12T22:01:53Z,8025
2020-01-12T22:02:04Z,8525
2020-01-12T22:02:16Z,9000
2020-01-12T22:02:29Z,9500
2020-01-12T22:02:38Z,9875
2020-01-12T22:02:45Z,10150
2020-01-12T22:02:51Z,10325
2020-01-12T22:02:59Z,10525
2020-01-12T22:03:25Z,11025
2020-01-12T22:03:39Z,11300
2020-01-12T22:03:45Z,11400
2020-01-12T22:03:51Z,11525
2020-01-12T22:03:57Z,11650
2020-01-12T22:04:03Z,11750
2020-01-12T22:04:10Z,11900
2020-01-12T22:04:22Z,12250
2020-01-12T22:04:55Z,13400
2020-01-12T22:05:26Z,14525
2020-01-12T22:05:57Z,15625
2020-01-12T22:06:31Z,16800
2020-01-12T22:07:04Z,18400
2020-01-12T22:08:05Z,20675
2020-01-12T22:08:20Z,21075
2020-01-12T22:08:26Z,21275
2020-01-12T22:08:33Z,21600
2020-01-12T22:08:39Z,21800
2020-01-12T22:08:45Z,21950
2020-01-12T22:08:51Z,22025
2020-01-12T22:08:57Z,22125
2020-01-12T22:09:04Z,22325
2020-01-12T22:09:29Z,22825
2020-01-12T22:09:35Z,22850
2020-01-12T22:09:43Z,22950
